#separator:tab
#html:false
#columns:용어	영문	한줄정의	상세설명	사례	고리	혼동용어	출제형태	위치	태그
뷰의 제약사항	View Restrictions	뷰를 사용할 때 지켜야 하는 제한 조건들	뷰의 정의는 ALTER로 변경할 수 없고 DROP 후 재생성해야 한다. 뷰에 인덱스를 만들 수 없다. 삽입·삭제·갱신에 제약이 있다. 기본 테이블이 제거되면 뷰도 자동 제거된다. 뷰 위에 또 다른 뷰는 정의할 수 있다.	뷰 정의를 바꾸려면 DROP 하고 다시 CREATE 해야 한다.	ALTER 불가 · 인덱스 불가 · 삽입삭제갱신 제약 · 기본 테이블 삭제 시 자동 소멸.	뷰 / ALTER / CASCADE	제약이 없다는 문장이 틀린 보기로 출제된다.	3-10 뷰 · 인덱스 · 시스템 카탈로그 (3과목)	유형_용어 과목3 챕터_3_10 오답노트출처
인덱스	Index	검색 속도를 향상시키기 위해 키값과 주소를 별도로 저장한 자료 구조	순서 인덱스, 해시 인덱스, 비트맵 인덱스, 함수 기반 인덱스, 단일·결합 인덱스, 클러스터드 인덱스가 있다. 카디널리티가 높은 컬럼에 효과적이다.	회원 100만 건 테이블의 email 에 인덱스를 걸어 조회를 0.01초로 줄인다.	값 종류가 많은(카디널리티 높은) 컬럼에 효과적.	클러스터드 인덱스 / 뷰 / 카디널리티	인덱스를 만들면 좋은 컬럼 조건을 묻는다.	3-10 뷰 · 인덱스 · 시스템 카탈로그 (3과목)	유형_용어 과목3 챕터_3_10
클러스터드 인덱스	Clustered Index	인덱스 순서와 실제 데이터의 물리적 저장 순서가 같은 인덱스	테이블당 하나만 만들 수 있고 검색이 빠르다. 넌클러스터드 인덱스는 여러 개 가능하나 별도 주소를 거친다.	기본키 순서대로 데이터가 실제로 정렬 저장된다.	테이블당 1개 — 물리 순서가 곧 인덱스.	넌클러스터드 인덱스 / 인덱스	개수 제한과 물리 순서 일치 여부를 묻는다.	3-10 뷰 · 인덱스 · 시스템 카탈로그 (3과목)	유형_용어 과목3 챕터_3_10
넌클러스터드 인덱스	Non-Clustered Index	인덱스와 실제 데이터의 물리적 순서가 다른 인덱스	테이블당 여러 개 만들 수 있다. 인덱스를 찾은 뒤 주소로 데이터를 다시 찾는다.	이메일 인덱스를 찾고 나서 실제 행 주소로 한 번 더 간다.	여러 개 가능 — 주소를 한 번 더 거친다.	클러스터드 인덱스 / 인덱스	개수 제한 비교.	3-10 뷰 · 인덱스 · 시스템 카탈로그 (3과목)	유형_용어 과목3 챕터_3_10
시스템 카탈로그	System Catalog	데이터베이스의 구조·제약·통계 정보 등 메타 데이터를 저장한 시스템 테이블	데이터 사전이라고도 한다. 사용자가 SELECT로 조회는 가능하나 INSERT·UPDATE·DELETE로 직접 갱신할 수는 없다. DBMS가 자동으로 갱신한다.	information_schema, user_tables 로 구조 정보를 조회한다.	조회는 가능, 직접 갱신은 불가 — DBMS가 관리.	데이터 사전 / 메타 데이터 / 뷰	사용자가 직접 갱신할 수 있다는 문장이 오답이다.	3-10 뷰 · 인덱스 · 시스템 카탈로그 (3과목)	유형_용어 과목3 챕터_3_10
기본 테이블	Base Table	실제 데이터가 물리적으로 저장된 테이블	뷰는 여기서 유도된 가상 테이블이며 기본 테이블이 제거되면 뷰도 자동 제거된다.	실제 데이터가 디스크에 저장된 MEMBER 테이블 그 자체.	이걸 지우면 이걸 쓰던 뷰도 함께 사라진다.	뷰 / 릴레이션	뷰와 기본 테이블의 의존 관계를 묻는다.	3-10 뷰 · 인덱스 · 시스템 카탈로그 (3과목)	유형_용어 과목3 챕터_3_10
절차형 SQL	Procedural SQL	일반 SQL에 제어문·변수·예외 처리를 추가해 절차적으로 작성한 SQL	프로시저, 트리거, 사용자 정의 함수 세 종류가 있다. 구성은 DECLARE, BEGIN/END, CONTROL, SQL, EXCEPTION, TRANSACTION 블록이다.	SQL 에 IF·LOOP·예외 처리를 붙여 배치 로직을 DB 안에서 돌린다.	프로시저·트리거·사용자 정의 함수 3종.	프로시저 / 트리거 / 사용자 정의 함수	세 종류의 호출 방식과 반환값을 바꿔 낸다.	3-11 절차형 SQL (3과목)	유형_용어 과목3 챕터_3_11
프로시저	Stored Procedure	특정 기능을 수행하는 트랜잭션 언어로, 호출을 통해 실행되어 미리 저장해 둔 SQL 작업을 수행하는 절차형 SQL	CALL 또는 EXECUTE로 명시적으로 호출한다. 반환값이 없거나 OUT 매개변수로 여러 개를 넘길 수 있다.	CALL settle_monthly('202608'); 로 월 정산을 돌린다.	명시적 호출 — CALL 이 필요하다.	트리거 / 사용자 정의 함수 / 옵티마이저	프로시저·트리거·옵티마이저·이벤트의 설명을 섞어 낸다.	3-11 절차형 SQL (3과목)	유형_용어 과목3 챕터_3_11 오답노트출처
트리거	Trigger	이벤트가 발생할 때마다 관련 작업이 자동으로 수행되는 절차형 SQL	DBMS가 자동 호출하므로 명시적 호출이 없다. DCL(COMMIT, ROLLBACK)을 사용할 수 없다. BEFORE·AFTER 시점과 INSERT·UPDATE·DELETE 이벤트를 지정한다.	주문이 INSERT 되면 자동으로 재고를 차감하는 AFTER INSERT 트리거.	자동 · 이벤트. COMMIT·ROLLBACK 사용 불가.	프로시저 / 이벤트 / 옵티마이저	자동·이벤트라는 단어가 있으면 트리거.	3-11 절차형 SQL (3과목)	유형_용어 과목3 챕터_3_11 오답노트출처
이벤트	Event	시스템에 어떤 일이 발생한 것 자체를 가리키는 용어	트리거를 발생시키는 원인이다. 트리거의 설명과 바꿔 제시하는 오답 선택지로 나온다.	INSERT·UPDATE·DELETE 같은 「일이 일어난 것」 자체.	트리거를 당기는 방아쇠.	트리거 / 프로시저	트리거 문제의 오답 선택지로 등장.	3-11 절차형 SQL (3과목)	유형_용어 과목3 챕터_3_11 오답노트출처
사용자 정의 함수	User Defined Function	SQL 문 안에서 호출되어 반드시 하나의 값을 반환하는 절차형 SQL	RETURN 문이 필수다. 프로시저와 달리 SELECT 절에서 사용할 수 있다.	SELECT calc_vat(price) FROM item; — SELECT 절에서 바로 쓴다.	반드시 하나의 값을 RETURN.	프로시저 / 트리거	반환값 필수 여부로 프로시저와 구별.	3-11 절차형 SQL (3과목)	유형_용어 과목3 챕터_3_11
커서	Cursor	쿼리 결과를 한 행씩 순차적으로 처리하기 위한 포인터	묵시적 커서와 명시적 커서가 있다. OPEN, FETCH, CLOSE 순으로 사용한다.	100만 건 결과를 한 행씩 꺼내며 조건별로 다르게 처리한다.	DECLARE → OPEN → FETCH → CLOSE.	절차형 SQL / 프로시저	커서 사용 순서를 묻는다.	3-11 절차형 SQL (3과목)	유형_용어 과목3 챕터_3_11
트랜잭션	Transaction	데이터베이스의 상태를 변화시키는 하나의 논리적 작업 단위	특성은 원자성, 일관성, 독립성, 영속성(ACID)이다. 상태는 활동, 부분 완료, 실패, 철회, 완료다.	계좌 이체 — 출금과 입금이 하나의 단위로 함께 성공하거나 함께 취소된다.	원자성·일관성·독립성·영속성(ACID).	원자성 / 일관성 / 독립성 / 영속성	ACID 각 특성의 정의를 바꿔 낸다.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12 오답노트출처
원자성	Atomicity	트랜잭션의 모든 연산이 완전히 수행되거나 전혀 수행되지 않아야 한다는 특성	All or Nothing이다. COMMIT과 ROLLBACK 명령어에 의해 보장받는 특성이 바로 원자성이다.	출금은 됐는데 입금이 실패하면 출금까지 되돌린다.	All or Nothing — COMMIT/ROLLBACK 이 보장.	일관성 / COMMIT / ROLLBACK	COMMIT/ROLLBACK이 보장하는 것을 일관성이라 하면 틀린 보기다.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12 오답노트출처
일관성	Consistency	트랜잭션 수행 전과 후에 데이터베이스가 일관된 상태를 유지해야 한다는 특성	고정 요소는 트랜잭션 수행과 관계없이 일관되어야 한다.	이체 전후 두 계좌의 합계는 변하지 않는다.	제약 조건이 계속 지켜진다.	원자성 / 무결성	원자성과 바꿔 내는 함정이 잦다.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12 오답노트출처
독립성	Isolation	둘 이상의 트랜잭션이 병행 실행될 때 서로의 연산에 끼어들 수 없다는 특성	격리성, 고립성이라고도 한다. 병행 제어로 보장한다.	동시에 이체 두 건이 돌아도 중간 상태가 서로에게 보이지 않는다.	격리성 — 병행 제어로 보장.	일관성 / 병행 제어 / 로킹	병행 실행 중 간섭 불가 = 독립성.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12 오답노트출처
영속성	Durability	성공적으로 완료된 트랜잭션의 결과는 영구적으로 반영되어야 한다는 특성	지속성이라고도 한다. 장애가 발생해도 결과가 유지된다. 회복 기법으로 보장한다.	COMMIT 직후 서버가 죽어도 이체 결과는 남아 있다.	회복 기법으로 보장.	원자성 / 회복	ACID 4종 나열형.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12 오답노트출처
회복	Recovery	장애로 손상된 데이터베이스를 이전의 정상 상태로 복구하는 작업	기법은 로그 기반(즉각 갱신, 연기 갱신), 검사점(Checkpoint) 회복, 그림자 페이징(Shadow Paging), 미디어 회복이다.	장애 후 재기동하면서 로그를 읽어 커밋된 것은 반영하고 아닌 것은 되돌린다.	로그 기반 · 검사점 · 그림자 페이징.	REDO / UNDO / 검사점	REDO와 UNDO의 방향을 바꿔 낸다.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
REDO	REDO	로그의 시작과 완료 기록이 모두 있는 트랜잭션의 갱신을 재수행하는 회복 연산	이미 커밋된 트랜잭션을 다시 반영한다.	로그에 시작과 완료가 다 있는 트랜잭션을 다시 반영한다.	커밋됐으니 다시(Re) 실행.	UNDO / 회복	REDO는 재수행, UNDO는 취소.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
UNDO	UNDO	로그에 시작은 있으나 완료 기록이 없는 트랜잭션의 갱신을 취소하는 회복 연산	미완료 트랜잭션을 되돌린다.	시작만 있고 완료 기록이 없는 트랜잭션을 되돌린다.	미완이니 되돌리기(Un).	REDO / ROLLBACK	방향을 바꿔 낸다.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
검사점	Checkpoint	회복 시간을 줄이기 위해 주기적으로 데이터베이스 상태를 저장하는 지점	체크포인트 이전은 검사하지 않아도 되므로 회복 범위가 줄어든다.	5분마다 상태를 저장해 장애 시 그 지점 이후만 복구한다.	여기 이전은 안 봐도 된다.	회복 / SAVEPOINT	회복 기법 나열형.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
그림자 페이징	Shadow Paging	갱신 전 복사본(그림자 페이지)을 두고 장애 시 그것으로 되돌리는 회복 기법	로그를 사용하지 않는 회복 기법이다.	갱신 전 페이지 사본을 남겨 두고 장애 시 그걸로 되돌린다.	로그를 쓰지 않는 회복 기법.	회복 / REDO	로그를 사용하지 않는 기법으로 출제.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
병행 제어	Concurrency Control	여러 트랜잭션이 동시에 실행될 때 데이터 일관성을 유지하는 기법	기법은 로킹(Locking), 타임 스탬프 순서(Time Stamp Ordering), 최적 병행수행(검증 기법), 다중 버전 기법이다.	동시에 같은 재고를 차감하려는 두 트랜잭션을 조율한다.	로킹·타임스탬프·검증·다중버전.	로킹 / 타임 스탬프 / 독립성	기법 4종 나열형.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
로킹	Locking	트랜잭션이 데이터에 접근하기 전에 잠금을 설정하는 병행 제어 기법	로킹 단위가 크면 병행성은 낮아지고 제어 기법은 단순해지며 오버헤드가 감소한다. 작으면 반대다.	재고 행에 잠금을 걸어 다른 트랜잭션이 손대지 못하게 한다.	단위가 크면 병행성 ↓ · 오버헤드 ↓.	2단계 로킹 규약 / 교착 상태 / 병행 제어	로킹 단위와 병행성의 관계를 바꿔 낸다.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
2단계 로킹 규약	Two-Phase Locking Protocol	확장 단계에서만 lock을 걸고 축소 단계에서만 unlock을 하는 로킹 규약	직렬 가능성을 보장하지만 교착 상태를 완전히 막지는 못한다.	잠금은 앞 단계에서만 걸고, 해제는 뒤 단계에서만 한다.	직렬 가능성은 보장, 교착 상태는 여전히 가능.	로킹 / 교착 상태	직렬 가능성 보장, 교착 상태는 발생 가능.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
타임 스탬프	Time Stamp Ordering	트랜잭션에 시간 도장을 부여해 순서대로 처리하는 병행 제어 기법	교착 상태가 발생하지 않는 것이 장점이나 연쇄 복귀(Cascading Rollback)가 발생할 수 있다.	트랜잭션마다 시간 도장을 찍어 순서를 강제한다.	교착 상태는 없지만 연쇄 복귀가 생긴다.	로킹 / 병행 제어	교착 상태가 없다는 장점을 묻는다.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
갱신 손실	Lost Update	두 트랜잭션이 같은 데이터를 갱신할 때 한 쪽의 갱신이 사라지는 문제	병행 제어 실패로 발생하는 문제 중 하나다. 현황 파악 오류, 모순성, 연쇄 복귀도 함께 출제된다.	두 사람이 재고 10을 동시에 읽고 각각 9로 저장해 한 건이 사라진다.	병행 제어를 안 하면 생기는 대표 사고.	병행 제어 / 연쇄 복귀	병행 제어 미흡 시 문제점 4종 나열형.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
연쇄 복귀	Cascading Rollback	한 트랜잭션의 롤백이 이를 참조한 다른 트랜잭션들의 롤백을 연쇄로 유발하는 현상	타임 스탬프 기법의 단점으로 출제된다.	A 를 롤백하니 A 의 결과를 읽었던 B, C 까지 줄줄이 롤백된다.	타임 스탬프 기법의 단점.	타임 스탬프 / 갱신 손실 / ROLLBACK	병행 제어 기법의 단점으로 출제.	3-12 트랜잭션 · 회복 · 병행 제어 (3과목)	유형_용어 과목3 챕터_3_12
파티셔닝	Partitioning	대용량 테이블을 작은 단위로 나누어 저장·관리하는 물리 설계 기법	범위 분할(Range), 해시 분할(Hash), 조합 분할(Composite), 목록 분할(List)이 있다. 성능·가용성·관리성이 향상된다.	3년치 로그 테이블을 월별로 나눠 지난달만 조회하면 그 조각만 읽는다.	범위·해시·목록·조합 4방식.	클러스터링 / 반정규화 / 분산 데이터베이스	분할 종류와 기준을 짝짓게 한다.	3-13 물리 데이터베이스 설계 (3과목)	유형_용어 과목3 챕터_3_13
클러스터링	Clustering	조회가 잦은 데이터를 물리적으로 인접하게 저장해 접근 효율을 높이는 기법	조회 성능은 향상되지만 삽입·수정·삭제 성능은 저하된다. 데이터 지역화를 이용한다.	함께 조회되는 주문과 주문상세를 물리적으로 붙여 저장한다.	조회는 빨라지고 입력·수정은 느려진다.	파티셔닝 / 데이터 지역화 / 클러스터드 인덱스	조회 향상, 갱신 저하라는 트레이드오프를 묻는다.	3-13 물리 데이터베이스 설계 (3과목)	유형_용어 과목3 챕터_3_13
데이터 지역화	Data Locality	자주 함께 사용되는 데이터를 인접하게 배치해 접근 효율을 높이는 원리	운영체제의 구역성(Locality)과 같은 원리다. 클러스터링의 근거가 된다.	같이 쓰는 데이터를 가까이 두어 디스크 이동을 줄인다.	OS의 구역성(Locality)과 같은 원리.	클러스터링 / 구역성	물리 속성 설계 요소 나열형.	3-13 물리 데이터베이스 설계 (3과목)	유형_용어 과목3 챕터_3_13
데이터베이스 백업	Database Backup	장애 대비를 위해 데이터베이스를 복사·보관하는 활동	전체 백업, 증분 백업(변경분만), 차등 백업(전체 백업 이후 변경분 전부)이 있다. 로그 파일도 함께 백업한다.	일요일 전체 백업 + 매일 증분 백업 + 로그 백업 조합.	증분은 「직전 백업 이후」, 차등은 「전체 백업 이후 전부」.	회복 / 검사점	증분과 차등 백업의 차이를 묻는다.	3-13 물리 데이터베이스 설계 (3과목)	유형_용어 과목3 챕터_3_13
테이블 저장 사이징	Table Sizing	테이블에 저장될 데이터 양을 예측해 저장 공간을 산정하는 작업	행 길이 × 예상 행 수 + 여유 공간으로 계산한다. 확장을 고려해야 한다.	행 길이 500byte × 예상 1000만 건 = 약 5GB + 여유분으로 산정한다.	행 길이 × 행 수 + 여유 공간.	파티셔닝 / 스토리지	물리 속성 설계 요소 나열형.	3-13 물리 데이터베이스 설계 (3과목)	유형_용어 과목3 챕터_3_13
스토리지	Storage	데이터를 저장하는 물리적 장치 구성 방식	DAS(직접 연결), NAS(네트워크 연결), SAN(전용 네트워크)으로 나뉜다.	서버 직결(DAS), 파일 공유(NAS), 전용망 블록(SAN) 중에서 고른다.	DAS·NAS·SAN.	DAS / NAS / SAN	세 방식의 연결 형태를 바꿔 낸다.	3-13 물리 데이터베이스 설계 (3과목)	유형_용어 과목3 챕터_3_13
DAS	Direct Attached Storage	서버에 케이블로 직접 연결한 스토리지	속도가 빠르고 확장성·유연성이 낮다. 서버가 다운되면 접근할 수 없다.	서버에 SATA 케이블로 직접 꽂은 디스크.	직결 — 빠르지만 서버가 죽으면 접근 불가.	NAS / SAN	연결 방식 비교표로 출제.	3-13 물리 데이터베이스 설계 (3과목)	유형_용어 과목3 챕터_3_13
